Aaberg, Ludvig
30%
8,50
Fitzpatrick, Matthew 9,50
Fleetwood, Tommy 9,50
Hovland, Viktor 12,50
Gerard, Ryan 14
Reitan, Kristoffer 21
Chacarra, Eugenio 25
Detry, Thomas 36
Perez, Victor 36
Ayora, Angel 42
Cauley, William Bud 42
Ferguson, Ewen 44
Kim, Michael 44
Pieters, Thomas 46
Smith, Cameron 46
Ortiz, Carlos 48
Winther, Jeff 48
Migliozzi, Guido 50
Sullivan, Andy 50
Rozner, Antoine 55
Bairstow, Sam 65
Kimsey, Nathan 65
Laporta, Francesco 65
Dean, Joe 75
Elvira, Manuel 75
Hill, Callum 75
Luiten, Joost 75
Saddier, Adrien 75
Langasque, Romain 80
Coussaud, Ugo 85
Elvira, Nacho 85
Rosenmuller, Thomas 85
Vaillant, Tom 85
Lawrence, Thriston 95
Armitage, Marcus 100
Couvra, Martin 100
Kobori, Kazuma 100
Veerman, Johannes 100
Waring, Paul 100
Bradbury, Daniel 110
Celli, Filippo 110
Lacroix, Frederic 110
Meronk, Adrian 110
Norris, Shaun 110
Girrbach, Joel 120
Guerrier, Julien 120
de Leo, Gregorio 120
Clements, Todd 130
Du Plessis, Hennie 130
Pavon, Matthieu 130
Stone, Brandon 130
Law, David 140
Manassero, Matteo 140
Otaegui, Adrián 140
Paul, Yannik 140
Sale, Julien 140
Schott, Freddy 140
Fisher, Ross 150
Smylie, Elvis 160
Van Driel, Darius 160
Guillamoundeguy, Oihan 170
Kinhult, Marcus 170
Steinlechner, Maximilian 170
Gouveia, Ricardo 180
Kaneko, Kota 180
Rodrigues, Daniel 180
Hidalgo, Ángel 190
Zanotti, Fabrizio 190
Crocker, Sean 200
Halvorsen, Andreas 200
Ravetto, David 200
Dantorp, Jens 225
Lemke, Niklas 225
Levy, Alexander 225
Van Tonder, Daniel 225
Zhou, Yanhan 225
Apinbarnrat, Kiradej 250
Katsuragawa, Yuto 250
Pepperell, Eddie 250
Von Dellingshausen, Nicolai 250
Jamieson, Scott 275
Mory, Felix 275
Scrivener, Jason 300
Forrest, Grant 350
Paratore, Renato 350
Robinson Thompson, Brandon 350
Wu, Ashun 350
Adam, Cameron 400
García Rodríguez, Sebastián 400
Lombard, Zander 400
Repetto Taylor, Rocco 400
Bergstrom, Albin 450
Gumberg, Jordan 450
Hoshino, Rikuya 450
Paul, Jeremy 450
Schmidt, Ben 450
Jonsson, Tobias 500
Mazzoli, Stefano 500
Siem, Marcel 500
Ko, Jeong Weon 600
Michael Mjaaseth 600
Tarren, Callum 600
Walker, Euan 600
Cantero Gutiérrez, Iván 700
Molinari, Edoardo 700
Morrison, James 700
Sautron, Rudy 700
Senior, Jack 700
Sharma, Shubhankar 700
Vidal, Quim 700
Arnaus, Adri 800
Baldwin, Matthew 800
Debove, Quentin 800
Townsend, Hugo 800
Young, Daniel 800
Micheluzzi, David 900
Trolio, Cohen 900
Beauvy, Paul 1.000
Berry, Joshua 1.000
Buchanan, Jack 1.000
Capan, Frankie 1.000
Charmasson, Clement 1.000
Decottignies-Lafon, Mathieu 1.000
Figueiredo, Frederico 1.000
Follett-Smith, Benjamin 1.000
Forsstrom, Simon 1.000
Gallegos, Andres 1.000
Gavins, Daniel 1.000
Hebert, Benjamin 1.000
Johnston, Ryggs 1.000
Kieffer, Maximilian 1.000
Lee, Jung-Hwan 1.000
Malcor, Ugo 1.000
McKinney, Connor 1.000
Naidoo, Dylan 1.000
Peake, Ryan 1.000
Pemerika, Tao 1.000
Quayle, Anthony 1.000
Sandhu, Yuvraj 1.000
Strydom, Ockie 1.000
Toorop, Mike 1.000
Yule, Jack 1.000
Fleetwood, Tommy 9,50
